因子,术数,组,原子,期望值
命宫化科,ziwei,1,依据,化科入命宫——名声才学、清贵（《紫微斗数全书》四化论）
财帛宫化禄,ziwei,1,"宫含[财帛宫,任意,化禄]",1
财帛宫化禄,ziwei,1,结论,1
财帛宫化禄,ziwei,1,依据,化禄入财帛宫——财丰、进财（《紫微斗数全书》四化论）
官禄宫化权,ziwei,1,"宫含[官禄宫,任意,化权]",1
官禄宫化权,ziwei,1,结论,1
官禄宫化权,ziwei,1,依据,化权入官禄宫——事业掌权、升迁（《紫微斗数全书》四化论）
官禄宫化科,ziwei,1,"宫含[官禄宫,任意,化科]",1
官禄宫化科,ziwei,1,结论,1
官禄宫化科,ziwei,1,依据,化科入官禄宫——事业名声、清誉（《紫微斗数全书》四化论）
夫妻宫化禄,ziwei,1,"宫含[夫妻宫,任意,化禄]",1
夫妻宫化禄,ziwei,1,结论,1
夫妻宫化禄,ziwei,1,依据,化禄入夫妻宫——姻缘吉、夫妻恩爱（《紫微斗数全书》四化论）
夫妻宫化科,ziwei,1,"宫含[夫妻宫,任意,化科]",1
夫妻宫化科,ziwei,1,结论,1
夫妻宫化科,ziwei,1,依据,化科入夫妻宫——配偶有才名、姻缘清贵（《紫微斗数全书》四化论）
食神制杀,bazi,1,食伤旺,1
食神制杀,bazi,1,七杀旺,1
食神制杀,bazi,1,结论,1
食神制杀,bazi,1,依据,食伤旺制七杀——食神制杀，以食制杀为用（《渊海子平》）
伤官见官,bazi,1,食伤旺,1
财官双美,bazi,1,财旺,1
财官双美,bazi,1,现[正官],1
财官双美,bazi,1,结论,1
财官双美,bazi,1,依据,财旺生官——财官双美，富贵双全（《渊海子平》）
日主长生,bazi,1,日主长生月支[长生],1
日主长生,bazi,1,结论,1
日主长生,bazi,1,依据,日主长生在月令——生机旺盛、有活力（《三命通会》十二长生）
日主帝旺,bazi,1,日主长生月支[帝旺],1
日主帝旺,bazi,1,结论,1
日主帝旺,bazi,1,依据,日主帝旺在月令——极旺、身强（《三命通会》十二长生）
日主墓,bazi,1,日主长生月支[墓],1
日主墓,bazi,1,结论,1
日主墓,bazi,1,依据,日主墓在月令——入库、收藏之象（《三命通会》十二长生）
日主绝,bazi,1,日主长生月支[绝],1
日主绝,bazi,1,结论,1
日主绝,bazi,1,依据,日主绝在月令——无气、衰绝之象（《三命通会》十二长生）
夫妻宫左辅,ziwei,1,"宫含[夫妻宫,左辅,任意]",1
夫妻宫左辅,ziwei,1,结论,1
夫妻宫左辅,ziwei,1,依据,夫妻宫坐左辅（《紫微斗数全书》夫妻宫论）
夫妻宫右弼,ziwei,1,"宫含[夫妻宫,右弼,任意]",1
夫妻宫右弼,ziwei,1,结论,1
夫妻宫右弼,ziwei,1,依据,夫妻宫坐右弼（《紫微斗数全书》夫妻宫论）
夫妻宫文昌,ziwei,1,"宫含[夫妻宫,文昌,任意]",1
夫妻宫文昌,ziwei,1,结论,1
夫妻宫文昌,ziwei,1,依据,夫妻宫坐文昌（《紫微斗数全书》夫妻宫论）
夫妻宫文曲,ziwei,1,"宫含[夫妻宫,文曲,任意]",1
夫妻宫文曲,ziwei,1,结论,1
夫妻宫文曲,ziwei,1,依据,夫妻宫坐文曲（《紫微斗数全书》夫妻宫论）
夫妻宫天魁,ziwei,1,"宫含[夫妻宫,天魁,任意]",1
夫妻宫天魁,ziwei,1,结论,1
夫妻宫天魁,ziwei,1,依据,夫妻宫坐天魁（《紫微斗数全书》夫妻宫论）
夫妻宫天钺,ziwei,1,"宫含[夫妻宫,天钺,任意]",1
夫妻宫天钺,ziwei,1,结论,1
夫妻宫天钺,ziwei,1,依据,夫妻宫坐天钺（《紫微斗数全书》夫妻宫论）
夫妻宫禄存,ziwei,1,"宫含[夫妻宫,禄存,任意]",1
夫妻宫禄存,ziwei,1,结论,1
夫妻宫禄存,ziwei,1,依据,夫妻宫坐禄存（《紫微斗数全书》夫妻宫论）
夫妻宫天马,ziwei,1,"宫含[夫妻宫,天马,任意]",1
夫妻宫天马,ziwei,1,结论,1
夫妻宫天马,ziwei,1,依据,夫妻宫坐天马（《紫微斗数全书》夫妻宫论）
田宅宫左辅,ziwei,1,"宫含[田宅宫,左辅,任意]",1
田宅宫左辅,ziwei,1,结论,1
田宅宫左辅,ziwei,1,依据,田宅宫坐左辅（《紫微斗数全书》田宅宫论）
田宅宫右弼,ziwei,1,"宫含[田宅宫,右弼,任意]",1
田宅宫右弼,ziwei,1,结论,1
田宅宫右弼,ziwei,1,依据,田宅宫坐右弼（《紫微斗数全书》田宅宫论）
田宅宫文昌,ziwei,1,"宫含[田宅宫,文昌,任意]",1
田宅宫文昌,ziwei,1,结论,1
田宅宫文昌,ziwei,1,依据,田宅宫坐文昌（《紫微斗数全书》田宅宫论）
田宅宫文曲,ziwei,1,"宫含[田宅宫,文曲,任意]",1
田宅宫文曲,ziwei,1,结论,1
田宅宫文曲,ziwei,1,依据,田宅宫坐文曲（《紫微斗数全书》田宅宫论）
田宅宫天魁,ziwei,1,"宫含[田宅宫,天魁,任意]",1
田宅宫天魁,ziwei,1,结论,1
田宅宫天魁,ziwei,1,依据,田宅宫坐天魁（《紫微斗数全书》田宅宫论）
田宅宫天钺,ziwei,1,"宫含[田宅宫,天钺,任意]",1
田宅宫天钺,ziwei,1,结论,1
田宅宫天钺,ziwei,1,依据,田宅宫坐天钺（《紫微斗数全书》田宅宫论）
田宅宫禄存,ziwei,1,"宫含[田宅宫,禄存,任意]",1
田宅宫禄存,ziwei,1,结论,1
田宅宫禄存,ziwei,1,依据,田宅宫坐禄存（《紫微斗数全书》田宅宫论）
田宅宫天马,ziwei,1,"宫含[田宅宫,天马,任意]",1
田宅宫天马,ziwei,1,结论,1
田宅宫天马,ziwei,1,依据,田宅宫坐天马（《紫微斗数全书》田宅宫论）
福德宫左辅,ziwei,1,"宫含[福德宫,左辅,任意]",1
福德宫左辅,ziwei,1,结论,1
福德宫左辅,ziwei,1,依据,福德宫坐左辅（《紫微斗数全书》福德宫论）
福德宫右弼,ziwei,1,"宫含[福德宫,右弼,任意]",1
福德宫右弼,ziwei,1,结论,1
福德宫右弼,ziwei,1,依据,福德宫坐右弼（《紫微斗数全书》福德宫论）
福德宫文昌,ziwei,1,"宫含[福德宫,文昌,任意]",1
福德宫文昌,ziwei,1,结论,1
福德宫文昌,ziwei,1,依据,福德宫坐文昌（《紫微斗数全书》福德宫论）
福德宫文曲,ziwei,1,"宫含[福德宫,文曲,任意]",1
福德宫文曲,ziwei,1,结论,1
福德宫文曲,ziwei,1,依据,福德宫坐文曲（《紫微斗数全书》福德宫论）
福德宫天魁,ziwei,1,"宫含[福德宫,天魁,任意]",1
福德宫天魁,ziwei,1,结论,1
福德宫天魁,ziwei,1,依据,福德宫坐天魁（《紫微斗数全书》福德宫论）
福德宫天钺,ziwei,1,"宫含[福德宫,天钺,任意]",1
福德宫天钺,ziwei,1,结论,1
福德宫天钺,ziwei,1,依据,福德宫坐天钺（《紫微斗数全书》福德宫论）
福德宫禄存,ziwei,1,"宫含[福德宫,禄存,任意]",1
福德宫禄存,ziwei,1,结论,1
福德宫禄存,ziwei,1,依据,福德宫坐禄存（《紫微斗数全书》福德宫论）
福德宫天马,ziwei,1,"宫含[福德宫,天马,任意]",1
福德宫天马,ziwei,1,结论,1
福德宫天马,ziwei,1,依据,福德宫坐天马（《紫微斗数全书》福德宫论）
父母宫左辅,ziwei,1,"宫含[父母宫,左辅,任意]",1
父母宫左辅,ziwei,1,结论,1
父母宫左辅,ziwei,1,依据,父母宫坐左辅（《紫微斗数全书》父母宫论）
父母宫右弼,ziwei,1,"宫含[父母宫,右弼,任意]",1
父母宫右弼,ziwei,1,结论,1
父母宫右弼,ziwei,1,依据,父母宫坐右弼（《紫微斗数全书》父母宫论）
父母宫文昌,ziwei,1,"宫含[父母宫,文昌,任意]",1
父母宫文昌,ziwei,1,结论,1
父母宫文昌,ziwei,1,依据,父母宫坐文昌（《紫微斗数全书》父母宫论）
父母宫文曲,ziwei,1,"宫含[父母宫,文曲,任意]",1
父母宫文曲,ziwei,1,结论,1
父母宫文曲,ziwei,1,依据,父母宫坐文曲（《紫微斗数全书》父母宫论）
父母宫天魁,ziwei,1,"宫含[父母宫,天魁,任意]",1
父母宫天魁,ziwei,1,结论,1
父母宫天魁,ziwei,1,依据,父母宫坐天魁（《紫微斗数全书》父母宫论）
父母宫天钺,ziwei,1,"宫含[父母宫,天钺,任意]",1
父母宫天钺,ziwei,1,结论,1
父母宫天钺,ziwei,1,依据,父母宫坐天钺（《紫微斗数全书》父母宫论）
父母宫禄存,ziwei,1,"宫含[父母宫,禄存,任意]",1
父母宫禄存,ziwei,1,结论,1
父母宫禄存,ziwei,1,依据,父母宫坐禄存（《紫微斗数全书》父母宫论）
父母宫天马,ziwei,1,"宫含[父母宫,天马,任意]",1
父母宫天马,ziwei,1,结论,1
父母宫天马,ziwei,1,依据,父母宫坐天马（《紫微斗数全书》父母宫论）
命宫文昌庙旺,ziwei,1,"宫含[命宫,文昌,庙旺]",1
命宫文昌庙旺,ziwei,1,结论,1
命宫文昌庙旺,ziwei,1,依据,文昌庙旺坐命宫——文才显达、读书有成（《紫微斗数全书》辅星亮度论）
命宫文昌陷,ziwei,1,"宫含[命宫,文昌,落陷]",1
命宫文昌陷,ziwei,1,结论,1
命宫文昌陷,ziwei,1,依据,文昌陷坐命宫——文书失误、才学受阻（《紫微斗数全书》辅星亮度论）
命宫文曲庙旺,ziwei,1,"宫含[命宫,文曲,庙旺]",1
命宫文曲庙旺,ziwei,1,结论,1
命宫文曲庙旺,ziwei,1,依据,文曲庙旺坐命宫——才艺显达、聪慧（《紫微斗数全书》辅星亮度论）
命宫文曲陷,ziwei,1,"宫含[命宫,文曲,落陷]",1
命宫文曲陷,ziwei,1,结论,1
命宫文曲陷,ziwei,1,依据,文曲陷坐命宫——才艺受阻、文书误（《紫微斗数全书》辅星亮度论）
禄马交驰,ziwei,1,"含[patterns,禄马交驰]",1
禄马交驰,ziwei,1,结论,1
禄马交驰,ziwei,1,依据,禄存天马交驰——财动，富贵奔波（《紫微斗数全书》格局篇）
紫微朝垣,ziwei,1,"含[patterns,紫微朝垣]",1
紫微朝垣,ziwei,1,结论,1
紫微朝垣,ziwei,1,依据,紫微坐命宫朝垣——帝星得位，尊贵（《紫微斗数全书》格局篇）
财荫夹印,ziwei,1,"含[patterns,财荫夹印]",1
财荫夹印,ziwei,1,结论,1
财荫夹印,ziwei,1,依据,财星荫星夹印（天府天梁夹印）——财帛有荫庇（《紫微斗数全书》格局篇）
